price,city,layout,area,condition,ownership,outdoor,lat,lon,url
3450000,Ostatní,2+1,58,Velmi dobrý,Osobní,0,49.54512,18.203173,https://www.sreality.cz/detail/prodej/byt/2+1/frenstat-pod-radhostem-frenstat-pod-radhostem-skolska-ctvrt/2492756812
10950000,Praha 4,4+kk,77,Velmi dobrý,Osobní,1,50.024704,14.454246,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-krc-hurbanova/2828751692
3700000,Kolín,1+kk,29,Dobrý,Osobní,0,50.029846,15.193904,https://www.sreality.cz/detail/prodej/byt/1+kk/kolin-kolin-ii-slunecni/671826764
13891000,Praha,3+1,90,Po rekonstrukci,Osobní,0,50.082317,14.450463,https://www.sreality.cz/detail/prodej/byt/3+1/praha--kubelikova/2483815244
5590000,Praha 4,2+kk,45,Po rekonstrukci,Družstevní,0,50.045902,14.45282,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-michle-/1343177548
6590000,Praha 9,2+1,43,Dobrý,Osobní,0,50.10611,14.550143,https://www.sreality.cz/detail/prodej/byt/2+1/praha-hloubetin-kardasovska/3867890508
24900000,Praha,5+kk,167,Novostavba,Osobní,1,50.143005,14.374685,https://www.sreality.cz/detail/prodej/byt/5+kk/praha-suchdol-bazantni/1064592204
5620000,Praha 2,2+kk,39,Po rekonstrukci,Osobní,0,50.077423,14.432672,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-vinohrady-rubesova/1390232396
17987000,Praha 1,2+kk,83,Po rekonstrukci,Osobní,1,50.091331,14.431291,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-nove-mesto-soukenicka/2838299468
2990000,Jičín,3+1,57,Dobrý,Osobní,1,49.595741,18.001265,https://www.sreality.cz/detail/prodej/byt/3+1/novy-jicin-novy-jicin-mendelova/2732409676
1990000,Teplice,2+kk,47,Dobrý,Družstevní,0,50.654388,13.845159,https://www.sreality.cz/detail/prodej/byt/2+kk/teplice-trnovany-pritkovska/296309580
5450000,Praha,4+kk,106,Novostavba,Družstevní,0,50.114189,14.485124,https://www.sreality.cz/detail/prodej/byt/4+kk/praha--prosecka/2454680396
3490000,Ostrava,3+1,68,Velmi dobrý,Družstevní,1,49.795616,18.240232,https://www.sreality.cz/detail/prodej/byt/3+1/ostrava-zabreh-pavlovova/2255754060
14920000,Praha 1,3+kk,91,Po rekonstrukci,Osobní,0,50.091877,14.435898,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-nove-mesto-petrska/3619582796
10997000,Praha 3,2+kk,57,Po rekonstrukci,Osobní,0,50.075493,14.450164,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-vinohrady-korunni/1740534604
10982000,Praha 2,2+kk,57,Po rekonstrukci,Osobní,0,50.07172,14.440499,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-vinohrady-varsavska/2737595212
13840000,Praha 2,2+kk,70,Po rekonstrukci,Osobní,0,50.07172,14.440499,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-vinohrady-varsavska/1179804492
12516500,Praha 2,2+kk,61,Před rekonstrukcí,Osobní,1,50.07172,14.440499,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-vinohrady-varsavska/85807948
8869000,Praha 1,1+kk,47,Po rekonstrukci,Osobní,0,50.091877,14.435898,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-nove-mesto-petrska/2531808076
19191000,Praha 8,3+kk,122,Po rekonstrukci,Osobní,1,50.092236,14.444477,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-karlin-vitkova/1153913676
8958000,Praha 2,2+kk,45,Po rekonstrukci,Osobní,1,50.07172,14.440499,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-vinohrady-varsavska/2434351948
11005700,Praha 2,2+kk,51,Po rekonstrukci,Osobní,0,50.077423,14.432672,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-vinohrady-rubesova/2903458636
8265000,Praha 7,2+kk,44,V rekonstrukci,Osobní,0,50.100979,14.427258,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-holesovice-veletrzni/3136770892
7500000,Brno,2+kk,77,Velmi dobrý,Osobní,0,49.211323,16.621485,https://www.sreality.cz/detail/prodej/byt/2+kk/brno-cerna-pole-zemedelska/1347769164
10700000,Brno,4+1,93,Velmi dobrý,Osobní,1,49.203842,16.683495,https://www.sreality.cz/detail/prodej/byt/4+1/brno-lisen-kubikova/3334234956
13900000,Brno,4+kk,116,Velmi dobrý,Osobní,1,49.195789,16.611649,https://www.sreality.cz/detail/prodej/byt/4+kk/brno-brno-mesto-vachova/2618516300
14478000,Olomouc,3+kk,98,Po rekonstrukci,Osobní,1,49.590469,17.249161,https://www.sreality.cz/detail/prodej/byt/3+kk/olomouc-olomouc-videnska/630035276
7500000,Ostatní,3+1,80,Dobrý,Osobní,1,49.344692,16.425589,https://www.sreality.cz/detail/prodej/byt/3+1/tisnov-tisnov-u-humpolky/2552714060
3318383,Praha,1+kk,21,Před rekonstrukcí,Družstevní,0,50.074371,14.425488,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-nove-mesto-katerinska/1059525452
8290000,Praha 10,3+kk,55,Po rekonstrukci,Osobní,1,50.054108,14.530043,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-hostivar-purkrabska/49230668
1894610,Praha 10,1+kk,23,Ve výstavbě,Družstevní,1,50.072151,14.472607,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-vrsovice-/2118763340
3118793,Praha,1+kk,28,Dobrý,Družstevní,0,50.107861,14.443544,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-holesovice-argentinska/3606598476
13290000,Praha 10,4+kk,66,Po rekonstrukci,Osobní,1,50.075439,14.554038,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-sterboholy-u-radialy/1999135564
1490000,Teplice,1+1,35,Velmi dobrý,Družstevní,0,50.65237,13.842991,https://www.sreality.cz/detail/prodej/byt/1+1/teplice-trnovany-antala-staska/2429576012
5990000,České Budějovice,3+1,85,Velmi dobrý,Osobní,1,48.985241,14.44098,https://www.sreality.cz/detail/prodej/byt/3+1/ceske-budejovice-ceske-budejovice-2-prachaticka/3554493260
